ProductID,PredictedOrderQty,LastMonthSales,PercentageIncrease
779,119.43368758543116,146.0,81.8038956064597
780,123.78004856018869,107.0,115.68228837400811
781,89.57092039485065,113.0,79.2663012343811
782,130.4414202077947,166.0,78.57916879987631
783,104.38181455978854,156.0,66.91141958960803
784,83.4371585432891,111.0,75.16861130026045
792,52.215782662153664,34.0,153.57583135927547
793,78.90321762032788,45.0,175.34048360072862
794,67.68281543819252,61.0,110.9554351445779
795,56.91459444446587,43.0,132.3595219638741
796,46.077065158615284,33.0,139.62747017762206
797,74.65282808581824,77.0,96.95172478677694
798,90.85667579731154,67.0,135.60697880195752
799,83.59430192578505,62.0,134.82951923513718
800,59.54779412858012,42.0,141.78046221090506
801,74.6112299276506,74.0,100.82598638871703
953,77.75485496590228,73.0,106.5134999532908
954,85.45606554378482,101.0,84.60996588493546
955,37.00654356480134,79.0,46.8437260313941
956,16.679713732474312,54.0,30.888358763841318
957,55.79733972823311,123.0,45.363690835961876
958,50.88041883730429,70.0,72.68631262472041
959,12.832473048266948,64.0,20.050739137917105
960,4.659022761287012,44.0,10.588688093834119
961,47.273909979599665,92.0,51.38468476043442
962,49.4151914722105,73.0,67.69204311261713
963,21.726844000109164,52.0,41.78239230790224
964,16.653895025420148,38.0,43.82603954057934
965,61.12964289804214,80.0,76.41205362255268
966,60.04798324548857,108.0,55.59998448656349
967,37.92449976827349,72.0,52.672916344824294
968,17.521719900523756,61.0,28.724130984465173
969,109.94722199070942,95.0,115.73391788495728
970,28.150170648977777,60.0,46.91695108162963
971,15.152001621395836,41.0,36.9561015155996
972,67.9763738131965,107.0,63.529321320744394
973,157.91315792144476,120.0,131.59429826787064
974,55.59002849679542,103.0,53.97090145319944
975,54.574751495047295,55.0,99.22682090008598
976,143.0334577728786,143.0,100.02339704397104
977,54.34040877301181,98.0,55.44939670715491
978,23.464515079594435,28.0,83.80183956998012
979,42.47389353547922,91.0,46.67460828074639
980,31.355698580459276,42.0,74.65642519156971
981,73.11775970455213,43.0,170.0413016384933
982,16.193820751142056,52.0,31.14196298296549
983,29.064300698324374,46.0,63.183262387661685
984,39.73011844002115,35.0,113.51462411434613
985,39.390072232721984,46.0,85.63059181026517
986,41.793726864296985,28.0,149.26331022963208
987,47.994151006684035,45.0,106.6536689037423
988,35.69442773212099,54.0,66.10079209652035
989,33.500575991670416,20.0,167.50287995835208
990,30.34812329920134,27.0,112.40045666370865
991,25.82613397843724,26.0,99.33128453245092
992,27.176652225749173,42.0,64.70631482321232
993,20.397482635415667,31.0,65.79833108198602
997,54.85072810091283,70.0,78.35818300130406
998,155.28681977273862,127.0,122.27308643522727
999,103.02291545247058,125.0,82.41833236197647
